65.9653 | symbol | symbol;
65.3872 | symbol | symbol;
65.0042 | symbol | symbol;
64.7068 | symbol | symbol;
71.4688 | symbol | symbol;
72.0835 | symbol | symbol;
66.7295 | symbol | symbol;
66.2784 | symbol | symbol;
65.3686 | symbol | symbol;
63.1934 | symbol | symbol;
62.5817 | symbol | symbol;
61.8059 | symbol | symbol;
61.7475 | symbol | symbol;
60.6899 | symbol | symbol;
59.9308 | symbol | symbol;
55.7628 | symbol | symbol;
60.2596 | symbol | symbol;
59.6674 | symbol | symbol;
56.2767 | symbol | symbol;
59.9209 | symbol | symbol;
24.0763 | symbol | symbol;
58.2632 | symbol | symbol;
61.1737 | symbol | symbol;
58.1096 | symbol | symbol;
11.5681 | symbol | symbol;
0 | symbol | symbol;
75.793 | symbol | symbol;
86.0321 | symbol | symbol;
92.5192 | symbol | symbol;
96.9654 | symbol | symbol;
102.951 | symbol | symbol;
111.655 | symbol | symbol;
111.214 | symbol | symbol;
110.843 | symbol | symbol;
115.559 | symbol | symbol;
116.399 | symbol | symbol;
109.426 | symbol | symbol;
85.1547 | symbol | symbol;
70.7432 | symbol | symbol;
69.9729 | symbol | symbol;
70.7244 | symbol | symbol;
71.1031 | symbol | symbol;
71.5255 | symbol | symbol;
70.337 | symbol | symbol;
70.399 | symbol | symbol;
71.206 | symbol | symbol;
70.7663 | symbol | symbol;
71.6846 | symbol | symbol;
71.3528 | symbol | symbol;
72.0088 | symbol | symbol;
70.9371 | symbol | symbol;
71.1304 | symbol | symbol;
70.9158 | symbol | symbol;
70.7444 | symbol | symbol;
69.7561 | symbol | symbol;
69.6176 | symbol | symbol;
69.1718 | symbol | symbol;
69.4583 | symbol | symbol;
69.7683 | symbol | symbol;
70.5925 | symbol | symbol;
69.601 | symbol | symbol;
69.4779 | symbol | symbol;
68.5991 | symbol | symbol;
68.644 | symbol | symbol;
67.7758 | symbol | symbol;
65.7518 | symbol | symbol;
65.6111 | symbol | symbol;
62.6556 | symbol | symbol;
62.3192 | symbol | symbol;
63.6021 | symbol | symbol;
62.911 | symbol | symbol;
64.4249 | symbol | symbol;
61.2324 | symbol | symbol;
64.8879 | symbol | symbol;
65.7425 | symbol | symbol;
64.6046 | symbol | symbol;
65.5074 | symbol | symbol;
63.6517 | symbol | symbol;
62.1013 | symbol | symbol;
59.2776 | symbol | symbol;
62.2397 | symbol | symbol;
62.6146 | symbol | symbol;
66.5213 | symbol | symbol;
67.1902 | symbol | symbol;
66.5641 | symbol | symbol;
68.6249 | symbol | symbol;
70.0503 | symbol | symbol;
68.6737 | symbol | symbol;
69.0302 | symbol | symbol;
69.5754 | symbol | symbol;
69.4998 | symbol | symbol;
69.5837 | symbol | symbol;
71.1263 | symbol | symbol;
71.3119 | symbol | symbol;
69.9309 | symbol | symbol;
69.8488 | symbol | symbol;
68.9274 | symbol | symbol;
68.5219 | symbol | symbol;
67.4131 | symbol | symbol;
68.0578 | symbol | symbol;
68.388 | symbol | symbol;
66.9218 | symbol | symbol;
66.3546 | symbol | symbol;
67.8531 | symbol | symbol;
67.8534 | symbol | symbol;
69.1164 | symbol | symbol;
69.2874 | symbol | symbol;
69.1573 | symbol | symbol;
68.3841 | symbol | symbol;
68.8592 | symbol | symbol;
69.3466 | symbol | symbol;
69.3996 | symbol | symbol;
69.0969 | symbol | symbol;
68.9207 | symbol | symbol;
68.9143 | symbol | symbol;
69.1114 | symbol | symbol;
68.7746 | symbol | symbol;
68.9562 | symbol | symbol;
68.6901 | symbol | symbol;
68.3968 | symbol | symbol;
68.4451 | symbol | symbol;
69.2278 | symbol | symbol;
68.8162 | symbol | symbol;
68.0749 | symbol | symbol;
67.8843 | symbol | symbol;
66.7974 | symbol | symbol;
66.8586 | symbol | symbol;
67.3344 | symbol | symbol;
67.3861 | symbol | symbol;
67.1831 | symbol | symbol;
66.5244 | symbol | symbol;
66.5727 | symbol | symbol;
66.1217 | symbol | symbol;
64.8805 | symbol | symbol;
63.4821 | symbol | symbol;
64.0476 | symbol | symbol;
65.0934 | symbol | symbol;
62.9628 | symbol | symbol;
57.6084 | symbol | symbol;
55.9045 | symbol | symbol;
13.1923 | symbol | symbol;
0 | symbol | symbol;
59.1182 | symbol | symbol;
54.2816 | symbol | symbol;
14.7475 | symbol | symbol;
0 | symbol | symbol;
68.2116 | symbol | symbol;
68.021 | symbol | symbol;
67.3706 | symbol | symbol;
67.8704 | symbol | symbol;
68.0217 | symbol | symbol;
70.0308 | symbol | symbol;
70.3281 | symbol | symbol;
72.596 | symbol | symbol;
73.7028 | symbol | symbol;
72.9394 | symbol | symbol;
73.7097 | symbol | symbol;
73.1258 | symbol | symbol;
73.0971 | symbol | symbol;
72.3121 | symbol | symbol;
72.4519 | symbol | symbol;
72.1043 | symbol | symbol;
72.3632 | symbol | symbol;
72.3484 | symbol | symbol;
72.3662 | symbol | symbol;
72.4967 | symbol | symbol;
71.9745 | symbol | symbol;
70.3644 | symbol | symbol;
68.3494 | symbol | symbol;
68.1872 | symbol | symbol;
70.6448 | symbol | symbol;
70.9055 | symbol | symbol;
70.9029 | symbol | symbol;
71.3362 | symbol | symbol;
70.7262 | symbol | symbol;
69.362 | symbol | symbol;
69.4679 | symbol | symbol;
69.4982 | symbol | symbol;
69.2648 | symbol | symbol;
69.4684 | symbol | symbol;
69.3244 | symbol | symbol;
67.3589 | symbol | symbol;
63.6207 | symbol | symbol;
65.0584 | symbol | symbol;
63.4643 | symbol | symbol;
61.031 | symbol | symbol;
56.4966 | symbol | symbol;
59.6075 | symbol | symbol;
61.264 | symbol | symbol;
62.5233 | symbol | symbol;
61.4064 | symbol | symbol;
59.3379 | symbol | symbol;
56.8866 | symbol | symbol;
66.0698 | symbol | symbol;
65.9753 | symbol | symbol;
65.9422 | symbol | symbol;
66.3818 | symbol | symbol;
66.4799 | symbol | symbol;
68.3633 | symbol | symbol;
67.4612 | symbol | symbol;
67.019 | symbol | symbol;
66.4458 | symbol | symbol;
64.5421 | symbol | symbol;
62.7883 | symbol | symbol;
62.7722 | symbol | symbol;
62.3428 | symbol | symbol;
61.6391 | symbol | symbol;
63.2292 | symbol | symbol;
63.4068 | symbol | symbol;
